interview_question,interview_answer,evasion_label
"Q. Oh, thank you. You mentioned climate activists before, and I want to ask something about them. You're touting agreements. Other world leaders have touted agreements. But the atmosphere around the conference here is skeptical, and it's pretty angry.Climate activists feel like decades and decades of COPs have led to broken promises. And they feel like even if all of these goals are reached that you're talking about in the last few days, it's just not enough right now.And I'm wondering what you would say to the people outside who are really angry at this conference, especially at this moment where Joe Manchin has expressed—you know, has created more doubt that your climate legislation will pass. And you've got a very conservative Supreme Court about to take a look at whether your EPA can regulate greenhouse gas emissions. What's your message to people outside who just worry this all isn't enough right now, given the crisis?","Well, first of all, I think anyone who is focused on the environment should be worried. We've got a lot more to do beyond what we've done. We've done more than we've ever done though; that's the point. And more has to be done.And I don't find—I didn't have a single member of the—this conference come up to me and say: Are you going to pass what you have? And what do you think is—how is that going to affect it? And what are you going to do? What they're looking at is what, in fact, has happened in terms of everything from dealing with deforestation to what we're going to do on Build Back Better and how we've been able to focus now.I mean, when is the last time you heard world leaders sit down together and agree that what they're going to do is, when they deal with the needs of the infrastructure of other countries, that they're going to focus, first and foremost, on whether or not what the climatic—what the climate impact is on that?So I think—look, this is a—there's a reason for people to be worried. I'm worried. I'm worried if we don't continue to move forward and make the kind of progress we're now making, that it's going to—I mean, we—we throw into jeopardy the prospect that we're going to be able to keep the temperature from rising above 1.5 degrees Celsius.But I'm optimistic because I think there's a—how can I say it? I guess maybe the best way to say it to you, Scott, is: What I feel is that the populations of each of our countries have a different perspective than they did at COP25.I think there is—I mean, not because of necessarily any of the leaders of any of our countries, including mine—that all of a sudden, people are seeing these things happening they never thought would happen.They're seeing people drown in their basements in Queens, New York, because of flooding and rain. They're seeing that, you know, more territory burned down in the United States, just since the first of the year, than—it makes up the entire landmass of the State of New Jersey. They've seen a hurricane with a hundred—top winds of 178 miles an hour.I mean—so they're looking at these things. They're seeing more—the waters warming. They're seeing a whole range of things occurring around the world that haven't happened. And it's, sort of, like, Whoa, whoa.Because I don't get what I used to get when I started—I don't—there's no reason why anyone would remember this, but back when a fine Republican, a guy named Dick Lugar, was—from the State of Indiana—and he and I were either the chairmen or ranking members of the Foreign Relations Committee. This was over 20 years ago. We ended up proposing—and it worked, but it got no enthusiasm—a thing for debt-for-nature swaps. And people looked at us like: What in the hell are you doing? Why are you forgiving the debt so Brazil won't, you know, burn down more of their forest? Or, Why are you doing that so they will do—now everybody goes: Whoa. What else can you do? What else can you do?So I think there's a whole different attitude that's out there. And I think this is being led—and I'm not being solicitous here—I think this is being led by, you know, my granddaughters and their friends, that generation. I think they're out there going whoa, and they're having a profound impact—having a profound impact on their parents and their grandparents about what's happening.And then all these climactic and—climatic things have happened that they—that people are now paying attention like they never did before.So, you know, there's a lot more to do. And it's going to determine whether or not we are going to be able to fund what we're talking about.But, for example, even if the funding didn't come from some of the governments, you have the private sector now engaged, where they're talking about investing—literally, the need to invest over trillions of dollars off the sidelines. It's bankers that are now deciding they've got to—I talked, a long time ago, with you all about—that you have major corporate America pricing in the price of carbon. It matters.So things are changing. We just have to have the right stewardship and enough sense as world leaders to get it right.So thank you all so very much. Appreciate it.",Implicit
"Q. Oh, thank you. You mentioned climate activists before, and I want to ask something about them. You're touting agreements. Other world leaders have touted agreements. But the atmosphere around the conference here is skeptical, and it's pretty angry.Climate activists feel like decades and decades of COPs have led to broken promises. And they feel like even if all of these goals are reached that you're talking about in the last few days, it's just not enough right now.And I'm wondering what you would say to the people outside who are really angry at this conference, especially at this moment where Joe Manchin has expressed—you know, has created more doubt that your climate legislation will pass. And you've got a very conservative Supreme Court about to take a look at whether your EPA can regulate greenhouse gas emissions. What's your message to people outside who just worry this all isn't enough right now, given the crisis?","Well, first of all, I think anyone who is focused on the environment should be worried. We've got a lot more to do beyond what we've done. We've done more than we've ever done though; that's the point. And more has to be done.And I don't find—I didn't have a single member of the—this conference come up to me and say: Are you going to pass what you have? And what do you think is—how is that going to affect it? And what are you going to do? What they're looking at is what, in fact, has happened in terms of everything from dealing with deforestation to what we're going to do on Build Back Better and how we've been able to focus now.I mean, when is the last time you heard world leaders sit down together and agree that what they're going to do is, when they deal with the needs of the infrastructure of other countries, that they're going to focus, first and foremost, on whether or not what the climatic—what the climate impact is on that?So I think—look, this is a—there's a reason for people to be worried. I'm worried. I'm worried if we don't continue to move forward and make the kind of progress we're now making, that it's going to—I mean, we—we throw into jeopardy the prospect that we're going to be able to keep the temperature from rising above 1.5 degrees Celsius.But I'm optimistic because I think there's a—how can I say it? I guess maybe the best way to say it to you, Scott, is: What I feel is that the populations of each of our countries have a different perspective than they did at COP25.I think there is—I mean, not because of necessarily any of the leaders of any of our countries, including mine—that all of a sudden, people are seeing these things happening they never thought would happen.They're seeing people drown in their basements in Queens, New York, because of flooding and rain. They're seeing that, you know, more territory burned down in the United States, just since the first of the year, than—it makes up the entire landmass of the State of New Jersey. They've seen a hurricane with a hundred—top winds of 178 miles an hour.I mean—so they're looking at these things. They're seeing more—the waters warming. They're seeing a whole range of things occurring around the world that haven't happened. And it's, sort of, like, Whoa, whoa.Because I don't get what I used to get when I started—I don't—there's no reason why anyone would remember this, but back when a fine Republican, a guy named Dick Lugar, was—from the State of Indiana—and he and I were either the chairmen or ranking members of the Foreign Relations Committee. This was over 20 years ago. We ended up proposing—and it worked, but it got no enthusiasm—a thing for debt-for-nature swaps. And people looked at us like: What in the hell are you doing? Why are you forgiving the debt so Brazil won't, you know, burn down more of their forest? Or, Why are you doing that so they will do—now everybody goes: Whoa. What else can you do? What else can you do?So I think there's a whole different attitude that's out there. And I think this is being led—and I'm not being solicitous here—I think this is being led by, you know, my granddaughters and their friends, that generation. I think they're out there going whoa, and they're having a profound impact—having a profound impact on their parents and their grandparents about what's happening.And then all these climactic and—climatic things have happened that they—that people are now paying attention like they never did before.So, you know, there's a lot more to do. And it's going to determine whether or not we are going to be able to fund what we're talking about.But, for example, even if the funding didn't come from some of the governments, you have the private sector now engaged, where they're talking about investing—literally, the need to invest over trillions of dollars off the sidelines. It's bankers that are now deciding they've got to—I talked, a long time ago, with you all about—that you have major corporate America pricing in the price of carbon. It matters.So things are changing. We just have to have the right stewardship and enough sense as world leaders to get it right.So thank you all so very much. Appreciate it.",Explicit
"Q. Thank you, Mr. President. A question on climate and energy. Can the world and others be confident that you will be able to follow or do—make good on the promises on climate change that you will—that you have made, when you're at Glasgow, without a vote having taken place on your bill?And on the same topic, climate: Some NGOs are already saying that the G-20 commitments today were underwhelming. How do you respond to their criticism that the G-20 response is not a good sign for COP26?","I'll answer both questions.Number one, I believe we will pass my Build Back Better plan, and I believe we will pass the infrastructure bill. Combined, they have $900 billion in climate resistance—in dealing with climate and resilience. And it's the largest investment in the history of the world that's ever occurred, and it's going to pass, in my view. But we'll see. We'll see.You know, you've all believed it wouldn't happen from the very beginning, the moment I announced it, and you always seem amazed when it's alive again. Well, you may turn out to be right; maybe it won't work. But I believe we'll see by the end of next week, at home, that it's passed.With regard to the—and by the way, that infrastructure bill delivers an awful lot of things in terms of everything from tax credits for electric vehicles, to making sure we are able to invest, literally, billions of dollars in everything from highways, roads, bridges, public transit, airports, et cetera. But we'll see.The—and with regard to the disappointment: The disappointment relates to the fact that Russia and—and including not only Russia, but China, basically didn't show up in terms of any commitments to deal with climate change. And there's a reason why people should be disappointed in that. I found it disappointing myself.But what we did do—we passed a number of things here to end the subsidization of coal. We made commitments here from across the board, all of us, in terms of what we're going to bring to the G26 [COP26].*And, I think, you know, as that old bad—that old trite saying goes, The proof of the pudding will be in the eating. I think you're going to see we've made significant progress, and more has to be done. But it's going to require us to continue to focus on what China is not doing, what Russia is not doing, and what Saudi Arabia is not doing.",Explicit
"Q. Thank you, Mr. President. A question on climate and energy. Can the world and others be confident that you will be able to follow or do—make good on the promises on climate change that you will—that you have made, when you're at Glasgow, without a vote having taken place on your bill?And on the same topic, climate: Some NGOs are already saying that the G-20 commitments today were underwhelming. How do you respond to their criticism that the G-20 response is not a good sign for COP26?","I'll answer both questions.Number one, I believe we will pass my Build Back Better plan, and I believe we will pass the infrastructure bill. Combined, they have $900 billion in climate resistance—in dealing with climate and resilience. And it's the largest investment in the history of the world that's ever occurred, and it's going to pass, in my view. But we'll see. We'll see.You know, you've all believed it wouldn't happen from the very beginning, the moment I announced it, and you always seem amazed when it's alive again. Well, you may turn out to be right; maybe it won't work. But I believe we'll see by the end of next week, at home, that it's passed.With regard to the—and by the way, that infrastructure bill delivers an awful lot of things in terms of everything from tax credits for electric vehicles, to making sure we are able to invest, literally, billions of dollars in everything from highways, roads, bridges, public transit, airports, et cetera. But we'll see.The—and with regard to the disappointment: The disappointment relates to the fact that Russia and—and including not only Russia, but China, basically didn't show up in terms of any commitments to deal with climate change. And there's a reason why people should be disappointed in that. I found it disappointing myself.But what we did do—we passed a number of things here to end the subsidization of coal. We made commitments here from across the board, all of us, in terms of what we're going to bring to the G26 [COP26].*And, I think, you know, as that old bad—that old trite saying goes, The proof of the pudding will be in the eating. I think you're going to see we've made significant progress, and more has to be done. But it's going to require us to continue to focus on what China is not doing, what Russia is not doing, and what Saudi Arabia is not doing.",Explicit
"Q. One follow-up on energy, sir. You also met with energy consumers about supply. What steps are you considering taking if OPEC Plus does not raise supply? And do you see any irony in pushing them to increase oil production at the same time that you're going to COP26 to urge people to lower emissions?","Well, on the surface, it seems like an irony, but the truth of the matter is—you've all known; everyone knows—that the idea we're going to be able to move to renewable energy overnight and not have—from this moment on, not use oil or not use gas or not use hydrogen is just not rational.Certain things we can wipe out and we don't have to do. We should be moving immediately to get rid of—as they've adopted here my proposal—to end methane, to deal with a whole range of things.But it does, on the surface, seem inconsistent, but it's not at all inconsistent in that no one has anticipated that this year we'd be in a position—or even next year—that we're not going to use any more oil or gas; that we're not going to be engaged in any fossil fuels. We're going to stop subsidizing those fossil fuels. We're going to be making significant changes.And it just makes the argument that we should move more rapidly to renewable energy: to wind and solar and other means of energy.But the idea that we're just going to end and somehow—but it does, on the surface, I admit to you. We're going to COP to deal with renewable energy, and I'm saying, Why are you guys cutting off oil and raising the price just to make it look harder for us? But it's a legitimate question.I think, though, that if anybody thinks about it, no one ever thought that tomorrow—for example, it's going to take us between now and 2030 to have half the vehicles in America electric vehicles. So the idea we're not going to need gasoline for automobiles is just not realistic. But we will get to the point that, by 2050, we have zero emissions.Jim? Jim Tankersley, New York Times./Gasoline Prices",Explicit
"Q. One follow-up on energy, sir. You also met with energy consumers about supply. What steps are you considering taking if OPEC Plus does not raise supply? And do you see any irony in pushing them to increase oil production at the same time that you're going to COP26 to urge people to lower emissions?","Well, on the surface, it seems like an irony, but the truth of the matter is—you've all known; everyone knows—that the idea we're going to be able to move to renewable energy overnight and not have—from this moment on, not use oil or not use gas or not use hydrogen is just not rational.Certain things we can wipe out and we don't have to do. We should be moving immediately to get rid of—as they've adopted here my proposal—to end methane, to deal with a whole range of things.But it does, on the surface, seem inconsistent, but it's not at all inconsistent in that no one has anticipated that this year we'd be in a position—or even next year—that we're not going to use any more oil or gas; that we're not going to be engaged in any fossil fuels. We're going to stop subsidizing those fossil fuels. We're going to be making significant changes.And it just makes the argument that we should move more rapidly to renewable energy: to wind and solar and other means of energy.But the idea that we're just going to end and somehow—but it does, on the surface, I admit to you. We're going to COP to deal with renewable energy, and I'm saying, Why are you guys cutting off oil and raising the price just to make it look harder for us? But it's a legitimate question.I think, though, that if anybody thinks about it, no one ever thought that tomorrow—for example, it's going to take us between now and 2030 to have half the vehicles in America electric vehicles. So the idea we're not going to need gasoline for automobiles is just not realistic. But we will get to the point that, by 2050, we have zero emissions.Jim? Jim Tankersley, New York Times./Gasoline Prices",Deflection
"Q. Thank you so much. I'd like to actually start by following up on Jeff's question and then ask you about supply chains as a follow-up to that.But, on the question of oil prices, economists say that, you know, when you raise the price of something, people will consume less of it. So why not allow even middle class people around the world to pay more for gasoline in the hope that they would consume fewer fossil fuels and emit less?","Well, because they have to get to their work. They have to get in an automobile, turn on the key, get their kids to school. The school buses have to run. That's the reason why. You know that, Jim. That's the reason.The idea that we can—that there's an alternative to walk away from being able to get in your automobile is just not realistic; it's not going to happen. And this wasn't intended to happen.And by the way, when the cost of a gallon of gasoline gets to above three hundred and thirty—three hundred—$3.35 a gallon, it has profound impact on working class families just to get back and forth to work. So I don't see anything inconsistent with that.But I do think that the idea that Russia and Saudi Arabia and other major producers are not going to pump more oil so people can have gasoline to get to and from work, for example, is—is not right. But—and what we're considering doing on that, I'm reluctant to say before I have to do it.",Explicit
"Q. And then on supply chain, sir: One of the, obviously, big problems in the United States for supply chains is not having enough workers, not enough people to drive trucks to unload at ports, for example, and a lot of other parts in the supply chain. Workers have not returned to the labor force in America as fast as your administration thought they would. Why do you think that is? Why aren't people coming back to work?","Because they're able to negotiate for higher wages, and they move from one job to another. That's one of the reasons why. A lot of people don't want to continue to do the job they did before, making 7, 8, 9 bucks an hour. An awful lot of the auto—excuse me, of the truck drivers are not unionized truck drivers. They're working like hell and not getting paid a whole lot.And so what you're seeing here is a combination of the desire of people to be able to change professions, to be able to do more and take care of their families, and at the same time, dealing with the issue that, in fact, we are short of workers.But worker pay has actually gone up. And we've employed 6 million people just since I got elected. So employment is up. The economy is actually, in spite of all this, still growing. You have the significant number of—I forget the number; I think it was close to six—16 major economists acknowledging that what's going to happen is, you're going to see continued economic growth under our proposals. You had a total of 14—I think it was 14—Nobel laureate economists in economics saying this is going to—what I'm proposing is going to reduce the inflation, et cetera.So there's a lot going on. This is—look, we really are—I know you're tired of hearing me say this—we really are at one of inflection points in history. So much is changing. So many pieces on the table are moving. And how they get resettled depends upon the judgments we make and whether or not the United States, among others, can lead the world in a direction that's going to increase the circumstances for a higher standard of living for workers here and abroad, as well as making sure that people have an opportunity. As I said—again, I use the phrase—just have a little breathing room.I meant what I said when I ran. My desire was to build this economy from the bottom up and the middle out, not from the top down. And that's what's in process of happening.But in the meantime, there's been enormous changes as a consequence of COVID on the supply chains, because why are we having trouble? An awful lot of the very factories and—and operations that, in fact, produced material that we need for supply chains, in everything from shoes to dealing with computer chips, you know, they're out sick; they're not working.And so it's changing. The economy is changing, and the United States has to stay ahead of the curve. That's why I introduced the infrastructure bill. That's why I also introduced the Build Back Better initiative.The Washington Post, Seung Min Kim. Where are—there you are. I'm sorry. I couldn't see you.",Explicit
"Q. And then on supply chain, sir: One of the, obviously, big problems in the United States for supply chains is not having enough workers, not enough people to drive trucks to unload at ports, for example, and a lot of other parts in the supply chain. Workers have not returned to the labor force in America as fast as your administration thought they would. Why do you think that is? Why aren't people coming back to work?","Because they're able to negotiate for higher wages, and they move from one job to another. That's one of the reasons why. A lot of people don't want to continue to do the job they did before, making 7, 8, 9 bucks an hour. An awful lot of the auto—excuse me, of the truck drivers are not unionized truck drivers. They're working like hell and not getting paid a whole lot.And so what you're seeing here is a combination of the desire of people to be able to change professions, to be able to do more and take care of their families, and at the same time, dealing with the issue that, in fact, we are short of workers.But worker pay has actually gone up. And we've employed 6 million people just since I got elected. So employment is up. The economy is actually, in spite of all this, still growing. You have the significant number of—I forget the number; I think it was close to six—16 major economists acknowledging that what's going to happen is, you're going to see continued economic growth under our proposals. You had a total of 14—I think it was 14—Nobel laureate economists in economics saying this is going to—what I'm proposing is going to reduce the inflation, et cetera.So there's a lot going on. This is—look, we really are—I know you're tired of hearing me say this—we really are at one of inflection points in history. So much is changing. So many pieces on the table are moving. And how they get resettled depends upon the judgments we make and whether or not the United States, among others, can lead the world in a direction that's going to increase the circumstances for a higher standard of living for workers here and abroad, as well as making sure that people have an opportunity. As I said—again, I use the phrase—just have a little breathing room.I meant what I said when I ran. My desire was to build this economy from the bottom up and the middle out, not from the top down. And that's what's in process of happening.But in the meantime, there's been enormous changes as a consequence of COVID on the supply chains, because why are we having trouble? An awful lot of the very factories and—and operations that, in fact, produced material that we need for supply chains, in everything from shoes to dealing with computer chips, you know, they're out sick; they're not working.And so it's changing. The economy is changing, and the United States has to stay ahead of the curve. That's why I introduced the infrastructure bill. That's why I also introduced the Build Back Better initiative.The Washington Post, Seung Min Kim. Where are—there you are. I'm sorry. I couldn't see you.",Explicit
"Q. That's okay. Thank you, Mr. President.On Iran: How will you determine whether the Iranians are serious about rejoining the nuclear talks, as they have indicated they will do by the end of November?And what costs are you prepared to impose on Iran if it continues to carry out attacks against the United States, such as the recent drone strikes against U.S. forces in Syria?","Well, in a sense, they're two different issues. One is whether or not we get to the JCPOA—we rejoin that. And that depends—that's why I had the meetings with my colleagues here in Rome, who are part of the original group of six people—six nations that got together to say that we should negotiate a change, which I found that I think we're continuing to suffer from the very bad judgments that President Trump made in pulling out of the JCPOA.And so that's one issue. And that issue is going to depend on whether—and how that gets resolved is going to depend on their action and the willingness of our friends, who are part of the original agreement, to stick with us and make sure there's a price to pay economically for them if they fail to come back.With regard to the issue of how we're going to respond to actions taken by them against the interests of the United States—whether they're drone strikes or anything else—is we're going to respond, and we're going to continue to respond.ABC, Cecilia Vega.It's hard to see you guys with a mask on. I apologize.Climate Change/",General
"Q. That's okay. Thank you, Mr. President.On Iran: How will you determine whether the Iranians are serious about rejoining the nuclear talks, as they have indicated they will do by the end of November?And what costs are you prepared to impose on Iran if it continues to carry out attacks against the United States, such as the recent drone strikes against U.S. forces in Syria?","Well, in a sense, they're two different issues. One is whether or not we get to the JCPOA—we rejoin that. And that depends—that's why I had the meetings with my colleagues here in Rome, who are part of the original group of six people—six nations that got together to say that we should negotiate a change, which I found that I think we're continuing to suffer from the very bad judgments that President Trump made in pulling out of the JCPOA.And so that's one issue. And that issue is going to depend on whether—and how that gets resolved is going to depend on their action and the willingness of our friends, who are part of the original agreement, to stick with us and make sure there's a price to pay economically for them if they fail to come back.With regard to the issue of how we're going to respond to actions taken by them against the interests of the United States—whether they're drone strikes or anything else—is we're going to respond, and we're going to continue to respond.ABC, Cecilia Vega.It's hard to see you guys with a mask on. I apologize.Climate Change/",Partial/half-answer
"Q. And the masks are making my glasses fog up, so I apologize too.Thank you, sir. On climate change: You just mentioned the incentives you have on renewable energy in your Build Back Better plan. You do have a number of incentives, but as it stands right now, there are no punitive measures in this plan to hold these companies accountable. And many experts firmly believe that you've got to have the stick along with the carrot in order to get to your goal to reduce emissions by 2030 by 50 percent. So can you stand here today and say to the world that you definitively will still meet that goal?","Yes, I can. Because what we're proposing and what we've initiated is everything from getting the automobile makers to commit to going all electric, number one. Getting the unions to agree to do that as well. Making sure we have the investment in battery technology that requires us to have the ability to generate electric vehicles, electric buses, electric transportation grids. Making sure that we are dealing with everything from—let me go through some of these: that we have tax credits for—of $320 billion for dealing with alternatives by people getting a tax credit for moving on solar panels, on wind, and a whole range of other things, and winterizing their properties.I don't think you're going to need any punitive action to get people to step up and do those things. There's been no indication that's the case at all. With regard to, you know, the—there's a total of $555 billion in climate and—I'm just checking the numbers; make sure I'm right—and climate investment, in terms of resilience.We're now—it's very much in the interest of—of the industry to see to it that we move to making sure that we have the resilience to be able to, when those towers come down and the lines end up hitting the ground and burning down large swaths of the West, to bury this underground.There's a whole range of things. I don't think we're going to have to—everybody knows which direction it's going. And there's no indication that there has to be a punitive effort to get people to react the way in which we have to do, at least I don't believe so.",Explicit
"Q. And a follow-up, sir, if I may. On your meeting with Pope Francis: The more than 50 million Catholics back at home are seeing something play out that has never happened before: this split in the conservative wing of the Catholic Church moving to deny someone like you, a Catholic President, the sacrament of Communion.What—for these Catholics back home, what did it mean for you to hear Pope Francis, in the wake of this—in the middle of this debate, call you a good Catholic? And did what he tell you—should that put this debate to rest?","Look, I'm not going to—a lot of this is just personal. has become a—I don't want to exaggerate—has become a—someone who has provided great solace for my family when my son died.He has—he is, in my view—there's always been this debate in the Catholic Church, going back to Pope John XXIII, that talk about how we reach out and embrace people with differences.If you notice what the Pope said when he was asked when he first got elected Pope—he was traveling with the press, and they said, What's your position on homosexuals? He said, Who am I to judge?This is a man who is of great empathy. He is a man who understands that part of his Christianity is to reach out and to forgive. And so I just find my relationship with him one that I personally take great solace in. He is a really, truly genuine, decent man.And I'll end by saying that, you know, there were an awful lot of people who—and many of you—I'm not putting you in this position; I apologize—but many of you who are even in the press who went out of your way to express your empathy and sympathy when I lost the real part of my soul, when I—when my—when I lost my Beau, my son.And I—my family will never forget—my extended family. Because when I had come—it was only a matter of days since my son had passed away, and came to the United States to visit with the—with not only President Obama, but with the Catholic Church here. And I was asked if I would accompany him to Philadelphia, to the seminary, and—anyway.And I did, but it was—the wounds were still raw of the loss of my son. And I had my extended family—and you're all tired of seeing my extended family; they're always around—my grandchildren, my children, my wife, my daughters-in-law.And before he left and got on the plane, the Pope asked whether or not he could meet with my family. And we met in a hangar in—at the Philadelphia Airport. And he came in, and he talked to my family for a considerable amount of time—10, 15 minutes—about my son Beau.And he didn't just generically talk about him; he knew about him. He knew what he did. He knew who he was. He knew where he went to school. He knew what he knew what a man he was. And it had such a cathartic impact on his children and my wife and our family that it—it meant a great deal.And as—I meant what I said—everybody was laughing; I didn't realize you all were able to film what I was doing with the Pope when I gave him a command coin. And I meant what I said: I—this is a man who is someone who is looking to establish peace and decency and honor, not just in the Catholic Church, but just generically.When I won, he called me to tell me how much he appreciated the fact that I would focus on the poor and focus on the needs of people who were in trouble. And so I just—again, I don't want to talk more about it, because so much of it is personal, but I'm—he is everything I learned about Catholicism from the time I was a kid going from grade school through high school.And I have great respect for people who have other religious views, but he is—he's just a fine, decent, honorable man. And I—he—and we keep in touch.I thank you all very, very much for your patience. Thank you. Thank you.",Deflection
"Q. And a follow-up, sir, if I may. On your meeting with Pope Francis: The more than 50 million Catholics back at home are seeing something play out that has never happened before: this split in the conservative wing of the Catholic Church moving to deny someone like you, a Catholic President, the sacrament of Communion.What—for these Catholics back home, what did it mean for you to hear Pope Francis, in the wake of this—in the middle of this debate, call you a good Catholic? And did what he tell you—should that put this debate to rest?","Look, I'm not going to—a lot of this is just personal. has become a—I don't want to exaggerate—has become a—someone who has provided great solace for my family when my son died.He has—he is, in my view—there's always been this debate in the Catholic Church, going back to Pope John XXIII, that talk about how we reach out and embrace people with differences.If you notice what the Pope said when he was asked when he first got elected Pope—he was traveling with the press, and they said, What's your position on homosexuals? He said, Who am I to judge?This is a man who is of great empathy. He is a man who understands that part of his Christianity is to reach out and to forgive. And so I just find my relationship with him one that I personally take great solace in. He is a really, truly genuine, decent man.And I'll end by saying that, you know, there were an awful lot of people who—and many of you—I'm not putting you in this position; I apologize—but many of you who are even in the press who went out of your way to express your empathy and sympathy when I lost the real part of my soul, when I—when my—when I lost my Beau, my son.And I—my family will never forget—my extended family. Because when I had come—it was only a matter of days since my son had passed away, and came to the United States to visit with the—with not only President Obama, but with the Catholic Church here. And I was asked if I would accompany him to Philadelphia, to the seminary, and—anyway.And I did, but it was—the wounds were still raw of the loss of my son. And I had my extended family—and you're all tired of seeing my extended family; they're always around—my grandchildren, my children, my wife, my daughters-in-law.And before he left and got on the plane, the Pope asked whether or not he could meet with my family. And we met in a hangar in—at the Philadelphia Airport. And he came in, and he talked to my family for a considerable amount of time—10, 15 minutes—about my son Beau.And he didn't just generically talk about him; he knew about him. He knew what he did. He knew who he was. He knew where he went to school. He knew what he knew what a man he was. And it had such a cathartic impact on his children and my wife and our family that it—it meant a great deal.And as—I meant what I said—everybody was laughing; I didn't realize you all were able to film what I was doing with the Pope when I gave him a command coin. And I meant what I said: I—this is a man who is someone who is looking to establish peace and decency and honor, not just in the Catholic Church, but just generically.When I won, he called me to tell me how much he appreciated the fact that I would focus on the poor and focus on the needs of people who were in trouble. And so I just—again, I don't want to talk more about it, because so much of it is personal, but I'm—he is everything I learned about Catholicism from the time I was a kid going from grade school through high school.And I have great respect for people who have other religious views, but he is—he's just a fine, decent, honorable man. And I—he—and we keep in touch.I thank you all very, very much for your patience. Thank you. Thank you.",Deflection
"Q. Thank you, Mr. President. I have two questions for you and then some for Chancellor Merkel as well. Your administration, tomorrow, is issuing a business advisory for Hong Kong. I was wondering if you can explain why you think that is necessary.And then, secondly, on your Build Back Better agenda, have you spoken to Senators Manchin and Sinema about the $3.5 trillion framework, and are you confident that they'll be on board at that level? And if they demand that you lose some components, will you be able to keep progressives on board?[At this point, the reporter spoke in German, and her remarks were translated by an interpreter as follows.]I wanted to ask you whether you have a feeling that, after the talk with President Biden, he better understands your viewpoint as regards China or whether the situation is still tense, whether there is still decoupling. And secondly, whether you think that the United States has contributed enough to vaccinate the rest of the world, or do you think it's only—is it appropriate for children in the United States being vaccinated—children below the age of 12, while adults in other countries have no chance to get vaccinated?","That's all? [] I thought I said we'd take two questions, but I guess that translated to, we'd take two questions or more from each person called on.Let me talk about the business advisory. The situation in Hong Kong is deteriorating. And the Chinese Government is not keeping its commitment that it made how it would deal with Hong Kong. And so it is more of an advisory as to what may happen in—on Hong Kong. It's as simple as that and as complicated as that.With regard to am I confident?—I'm supremely confident that everything is going to work out perfectly in terms—[]. Look, I understand why the press, among others, is skeptical that I can actually get this deal done on infrastructure and on human infrastructure. And I've watched and listened, and the press declared my initiative dead at least 10 times so far.I don't think it's dead. I think it's still alive. I still have confidence we're going to be able to get what I proposed and what I've agreed to in the bipartisan agreement on infrastructure. I've gotten—we've each committed—I trust the members of—the Republican Senators who have made the commitments relative to how we should proceed and what would be included in the package for infrastructure. And they're men and women of honor, and I expect they would keep their commitment.With regard to the further issue of what's going on and what will confuse the listening audience—but reconciliation—that is the mechanism by which you have to get every single Democrat to agree to proceed on matters like what I announced today.Today—I don't know whether you have any children; it's none of my business whether you do, but if you do, you're going to get—if you're making less than $150,000—you're going to get a significant stipend that is a tax cut. If you have a child under the age of 7 years old, you're going to get—in your bank account today, you're going to get a payment of one-sixth—12 months divided—$3,600—$3,700 for that child divided by 12 every month, just like a Social Security check. It's expected to reduce poverty—child poverty by over 40 percent. And it could be a significant, significant game changer.We have mechanisms to pay for both these mechanisms. And there may be some last-minute discussion as to who—what mechanism is used to pay for each of these items, both the infrastructure package and the human infrastructure package. But I believe we will get it done.Thank you. We talked about China, and there is a lot of common understanding that China, in many areas, is our competitor; that trade with China needs to rest on the assumption that we have a level playing field so that we all play by the same rules, have the same standards. That, incidentally, was also the driving force behind the EU-China agreement on trade that they abide by the core labor norms of ILO.And we are convinced of ours—needing to be technological leaders for our two countries in many, many areas. Obviously, it's legitimate for China wishing to do this as well, but, forexample, we will cooperate in many technological state-of-the-art technologies, for example, CHIPS. I think the act that the President launched is fundamental in this respect and crucial.And we want to trade together at a time of digitalization where security issues loom very large in our agendas. We ought to have an exchange on this; we ought to talk about this; we ought to talk about norms, standards that govern the internet; whether we can agree on common norms. I think, particularly as regards to the relationship of us with China, we ought to coordinate our efforts. We do that in the European Union, and we should do it with the United States.And then, there are interests, obviously: sometimes divergent interests, but sometimes common interests. But we also have, obviously, areas where American companies compete with European companies, and we have to accept that. But I think, basically, the rules as to how we deal with China ought to rest and do rest on our shared values.And I think, on the pandemic, we are obviously of the opinion that the pandemic—we can only master the pandemic if each and every one is vaccinated. We are trying to boost production. We are trying also to get as many people in our country vaccinated as possible—which obviously opens us up to criticism of those countries who as yet have not had the chance, which is why we invested a lot of money in COVAX, which is why we encourage our companies to increase their production of vaccines.And, in Africa, we are trying to help Africans to upskill people so that they, too, can have their own production sites. We're going to do this, but, de facto, there is an imbalance, I agree. And—but we're overcoming. We're putting our all into that and also together in overcoming that imbalance.I'm sorry. I call on Ms. Schäuble from Der Tagesspiegel newspaper. Thank you.[]",General
